Player,FPTS,FPTS/G,ROST
Tua Tagovailoa,29.2,29.2,97.0%
Jalen Hurts,28.4,28.4,100.0%
Kyler Murray,26.6,26.6,73.2%
Dak Prescott,26.4,26.4,97.5%
Justin Fields,26.0,26.0,86.7%
Marcus Mariota,24.4,24.4,0.2%
Kirk Cousins,23.5,23.5,20.8%
Taylor Heinicke,23.1,23.1,3.0%
Lamar Jackson,21.8,21.8,99.1%
Jacoby Brissett,20.3,20.3,0.1%
Josh Allen,19.6,19.6,100.0%
Zach Wilson,19.4,19.4,3.4%
Geno Smith,19.1,19.1,62.4%
P.J. Walker,17.7,17.7,0.6%
Jimmy Garoppolo,17.7,17.7,2.8%
Jared Goff,17.6,17.6,82.5%
Matthew Stafford,17.4,17.4,44.5%
Andy Dalton,17.2,17.2,0.1%
Tom Brady,17.1,17.1,0.8%
Aaron Rodgers,16.2,16.2,19.8%
Russell Wilson,14.8,14.8,69.9%
Joe Burrow,14.5,14.5,39.5%
Mac Jones,12.7,12.7,3.8%
Davis Mills,9.9,9.9,0.0%
Daniel Jones,9.0,9.0,19.3%
Trevor Lawrence,8.8,8.8,91.2%
Kenny Pickett,8.3,8.3,17.1%
Sam Ehlinger,7.5,7.5,0.0%
Jarrett Stidham,2.9,2.9,0.1%
Derek Carr,2.9,2.9,34.8%
Malik Willis,2.4,2.4,0.1%
Gardner Minshew II,0.8,0.8,19.2%
Trevor Siemian,0.2,0.2,0.1%
Feleipe Franks,0.0,0.0,0.0%
Logan Woodside,0.0,0.0,0.0%
,,,
,,,
