Player,FPTS,FPTS/G,ROST
Joe Burrow,39.2,39.2,39.5%
Andy Dalton,29.5,29.5,0.1%
Daniel Jones,28.8,28.8,19.3%
Patrick Mahomes II,27.9,27.9,100.0%
Justin Fields,24.4,24.4,86.7%
Davis Mills,19.1,19.1,0.0%
Trevor Lawrence,18.7,18.7,91.2%
Justin Herbert,18.1,18.1,98.6%
Jimmy Garoppolo,17.3,17.3,2.8%
Kyler Murray,17.2,17.2,73.2%
Tua Tagovailoa,15.9,15.9,97.0%
Aaron Rodgers,15.8,15.8,19.8%
Taylor Heinicke,15.4,15.4,3.0%
P.J. Walker,15.1,15.1,0.6%
Geno Smith,14.1,14.1,62.4%
Derek Carr,13.5,13.5,34.8%
Kenny Pickett,13.3,13.3,17.1%
Dak Prescott,12.3,12.3,97.5%
Marcus Mariota,12.1,12.1,0.2%
Matt Ryan,11.9,11.9,0.0%
Tom Brady,11.7,11.7,0.8%
Lamar Jackson,10.7,10.7,99.1%
Jacoby Brissett,10.1,10.1,0.1%
Brett Rypien,8.9,8.9,0.0%
Bailey Zappe,7.3,7.3,1.9%
Zach Wilson,7.2,7.2,3.4%
Ryan Tannehill,3.9,3.9,1.6%
Jared Goff,3.5,3.5,82.5%
Mac Jones,1.9,1.9,3.8%
Brock Purdy,1.7,1.7,91.8%
Feleipe Franks,0.0,0.0,0.0%
Chad Henne,-0.3,-0.3,0.1%
Josh Jacobs,29.5,29.5,99.6%
Austin Ekeler,28.9,28.9,100.0%
Rashaad Penny,27.7,27.7,11.8%
Miles Sanders,27.6,27.6,51.0%
Jamaal Williams,22.9,22.9,17.8%
Clyde Edwards-Helaire,21.4,21.4,4.5%
Derrick Henry,20.7,20.7,99.8%
Dameon Pierce,19.9,19.9,68.0%
Nick Chubb,18.7,18.7,22.3%
J.K. Dobbins,18.3,18.3,16.3%
Christian McCaffrey,16.8,16.8,100.0%
Saquon Barkley,16.2,16.2,99.9%
Damien Harris,14.4,14.4,7.2%
Breece Hall,13.8,13.8,97.4%
Jeff Wilson Jr.,13.4,13.4,15.8%
Joe Mixon,13.4,13.4,98.6%
Latavius Murray,12.5,12.5,15.7%
Caleb Huntley,11.6,11.6,0.0%
Aaron Jones,11.5,11.5,92.5%
Leonard Fournette,11.4,11.4,4.5%
Tyler Allgeier,10.4,10.4,46.9%
Khalil Herbert,10.1,10.1,60.4%
Rex Burkhead,9.9,9.9,10.0%
Cordarrelle Patterson,9.8,9.8,2.0%
Rachaad White,9.6,9.6,95.8%
Rhamondre Stevenson,8.9,8.9,92.9%
Dalvin Cook,8.6,8.6,23.9%
AJ Dillon,8.4,8.4,71.7%
Raheem Mostert,8.1,8.1,97.7%
Ezekiel Elliott,8.1,8.1,56.3%
Chase Edmonds,8.0,8.0,1.1%
