Player,FPTS,FPTS/G,ROST
Justin Fields,40.4,40.4,86.7%
Patrick Mahomes II,32.1,32.1,100.0%
Tua Tagovailoa,23.4,23.4,97.0%
Jalen Hurts,22.8,22.8,100.0%
Matt Ryan,22.7,22.7,0.0%
Josh Allen,21.6,21.6,100.0%
Dak Prescott,21.2,21.2,97.5%
Trevor Lawrence,21.0,21.0,91.2%
Ryan Tannehill,19.4,19.4,1.6%
Aaron Rodgers,19.4,19.4,19.8%
Geno Smith,19.2,19.2,62.4%
Kenny Pickett,19.1,19.1,17.1%
Marcus Mariota,18.7,18.7,0.2%
Daniel Jones,18.3,18.3,19.3%
Derek Carr,17.9,17.9,34.8%
Kirk Cousins,17.5,17.5,20.8%
Tom Brady,17.0,17.0,0.8%
Jacoby Brissett,16.5,16.5,0.1%
Jimmy Garoppolo,15.9,15.9,2.8%
Davis Mills,15.8,15.8,0.0%
Russell Wilson,15.2,15.2,69.9%
Jared Goff,14.8,14.8,82.5%
Colt McCoy,13.9,13.9,0.0%
Justin Herbert,13.0,13.0,98.6%
John Wolford,9.8,9.8,0.0%
Andy Dalton,9.1,9.1,0.1%
Taylor Heinicke,6.4,6.4,3.0%
P.J. Walker,5.7,5.7,0.6%
Skylar Thompson,0.7,0.7,0.0%
Bryce Perkins,0.3,0.3,0.0%
Trey Lance,0.0,0.0,0.7%
Chase Daniel,0.0,0.0,0.0%
Kyle Allen,0.0,0.0,0.1%
Malik Willis,-2.4,-2.4,0.1%
Nick Chubb,29.3,29.3,22.3%
Aaron Jones,29.0,29.0,92.5%
Tony Pollard,15.8,15.8,99.8%
D'Andre Swift,14.7,14.7,96.9%
Damien Harris,14.7,14.7,7.2%
James Robinson,13.8,13.8,0.6%
David Montgomery,13.6,13.6,95.9%
Christian McCaffrey,12.8,12.8,100.0%
Darrel Williams,12.2,12.2,0.0%
Breece Hall,12.0,12.0,97.4%
Clyde Edwards-Helaire,11.8,11.8,4.5%
Darrell Henderson Jr.,10.7,10.7,10.5%
Jeff Wilson Jr.,10.3,10.3,15.8%
Antonio Gibson,10.1,10.1,50.0%
Austin Ekeler,9.4,9.4,100.0%
Najee Harris,8.9,8.9,93.6%
Saquon Barkley,8.8,8.8,99.9%
Miles Sanders,8.6,8.6,51.0%
Derrick Henry,8.5,8.5,99.8%
Javonte Williams,8.5,8.5,90.9%
Joe Mixon,8.3,8.3,98.6%
Josh Jacobs,8.1,8.1,99.6%
Raheem Mostert,7.9,7.9,97.7%
Reggie Gilliam,7.7,7.7,0.0%
Dameon Pierce,7.7,7.7,68.0%
Jerick McKinnon,7.6,7.6,23.3%
Kareem Hunt,7.4,7.4,55.5%
Leonard Fournette,7.4,7.4,4.5%
AJ Dillon,6.7,6.7,71.7%
Jonathan Taylor,6.3,6.3,95.7%
J.D. McKissic,6.3,6.3,0.0%
Cam Akers,6.2,6.2,20.9%
Kyle Juszczyk,6.1,6.1,0.3%
Zander Horvath,6.1,6.1,0.0%
Jamaal Williams,6.0,6.0,17.8%
Travis Etienne Jr.,5.3,5.3,99.9%
Melvin Gordon III,5.3,5.3,0.1%
James Cook,5.3,5.3,94.3%
James Conner,5.1,5.1,90.2%
Rhamondre Stevenson,5.1,5.1,92.9%
Eno Benjamin,5.1,5.1,0.0%
Michael Carter,5.0,5.0,1.5%
Ezekiel Elliott,4.9,4.9,56.3%
Travis Homer,4.2,4.2,0.1%
Khalil Herbert,4.1,4.1,60.4%
Chase Edmonds,4.1,4.1,1.1%
Mark Ingram II,4.1,4.1,0.0%
Cordarrelle Patterson,4.1,4.1,2.0%
Nyheim Hines,3.7,3.7,0.1%
Hassan Haskins,3.7,3.7,0.1%
Dalvin Cook,3.6,3.6,23.9%
Tyrion Davis-Price,3.3,3.3,0.1%
Tyler Allgeier,3.0,3.0,46.9%
Craig Reynolds,2.9,2.9,2.0%
Joshua Kelley,2.5,2.5,11.4%
Ameer Abdullah,2.3,2.3,0.5%
Devin Singletary,2.1,2.1,75.5%
Boston Scott,2.1,2.1,0.2%
Tony Jones Jr.,2.0,2.0,0.3%
Sony Michel,1.9,1.9,0.0%
Dwayne Washington,1.8,1.8,0.0%
Kenneth Gainwell,1.8,1.8,23.6%
Zack Moss,1.7,1.7,88.5%
Alec Ingold,1.6,1.6,0.1%
Justice Hill,1.6,1.6,12.4%
Rashaad Penny,1.5,1.5,11.8%
Kenneth Walker III,1.5,1.5,96.4%
Jaylen Warren,1.5,1.5,83.5%
Alexander Mattison,1.4,1.4,86.3%
Gary Brightwell,1.4,1.4,0.3%
Samaje Perine,1.0,1.0,32.8%
D'Onta Foreman,0.9,0.9,32.8%
Rex Burkhead,0.9,0.9,10.0%
Michael Burton,0.8,0.8,0.0%
Kenyan Drake,0.8,0.8,0.1%
Isiah Pacheco,0.6,0.6,96.5%
Avery Williams,0.6,0.6,0.0%
Patrick Ricard,0.5,0.5,0.1%
Mike Davis,0.4,0.4,1.0%
Ty Johnson,0.4,0.4,0.1%
Caleb Huntley,0.3,0.3,0.0%
Zamir White,0.2,0.2,1.3%
Derek Watt,0.2,0.2,0.0%
Adam Prentice,0.2,0.2,0.0%
