Player,FPTS,FPTS/G,ROST
Mike Evans,22.3,22.3,97.3%
Justin Jefferson,21.0,21.0,99.9%
Tee Higgins,18.4,18.4,89.4%
Deebo Samuel,17.7,17.7,98.6%
Jamal Agnew,17.0,17.0,0.2%
Tyreek Hill,15.9,15.9,100.0%
CeeDee Lamb,15.7,15.7,100.0%
DK Metcalf,14.9,14.9,98.2%
Marquise Brown,14.8,14.8,85.6%
Josh Reynolds,14.1,14.1,11.4%
Corey Davis,13.4,13.4,0.1%
Chris Olave,12.7,12.7,98.4%
Cooper Kupp,12.2,12.2,99.0%
Mike Williams,12.0,12.0,18.8%
Brandin Cooks,11.7,11.7,70.5%
Allen Lazard,11.6,11.6,10.8%
Jerry Jeudy,11.3,11.3,63.9%
Courtland Sutton,11.2,11.2,86.9%
Davante Adams,10.5,10.5,99.9%
Jahan Dotson,10.3,10.3,60.7%
George Pickens,10.2,10.2,81.7%
A.J. Brown,9.5,9.5,100.0%
Darnell Mooney,9.4,9.4,17.6%
Robert Woods,9.0,9.0,7.8%
Romeo Doubs,8.7,8.7,48.4%
Michael Gallup,8.4,8.4,19.7%
DeVante Parker,8.4,8.4,2.8%
Christian Watson,8.3,8.3,78.8%
Nico Collins,8.2,8.2,92.0%
Ja'Marr Chase,8.1,8.1,100.0%
Isaiah McKenzie,8.1,8.1,0.2%
Alec Pierce,8.0,8.0,2.7%
Adam Thielen,7.2,7.2,91.4%
Donovan Peoples-Jones,7.1,7.1,2.2%
Tyler Lockett,7.1,7.1,91.9%
Christian Kirk,6.3,6.3,86.5%
Marquez Valdes-Scantling,6.3,6.3,3.8%
Stefon Diggs,6.2,6.2,100.0%
DJ Moore,6.1,6.1,96.6%
Noah Brown,6.1,6.1,44.7%
Chris Godwin,5.9,5.9,88.5%
Tyler Boyd,5.6,5.6,49.6%
Elijah Moore,5.5,5.5,42.2%
KJ Hamler,5.5,5.5,0.0%
Trent Sherfield,5.5,5.5,0.1%
Olamide Zaccheaus,5.5,5.5,0.1%
Tom Kennedy,5.4,5.4,0.0%
Marquez Callaway,5.3,5.3,0.0%
Devin Duvernay,5.1,5.1,0.1%
Michael Bandy,4.9,4.9,0.0%
Braxton Berrios,4.7,4.7,1.6%
Nelson Agholor,4.6,4.6,0.7%
JuJu Smith-Schuster,4.6,4.6,19.1%
Parris Campbell,4.3,4.3,2.5%
Randall Cobb,4.2,4.2,0.3%
Garrett Wilson,4.1,4.1,97.3%
Jaylen Waddle,3.9,3.9,99.4%
Kendall Hinton,3.9,3.9,0.0%
Kendrick Bourne,3.8,3.8,5.4%
Curtis Samuel,3.8,3.8,39.8%
Brandon Aiyuk,3.7,3.7,97.6%
David Bell,3.5,3.5,0.1%
Mack Hollins,3.3,3.3,0.4%
Ben Skowronek,3.3,3.3,0.1%
Michael Pittman Jr.,3.1,3.1,96.1%
Skyy Moore,3.1,3.1,19.5%
Jarvis Landry,2.7,2.7,14.0%
Robbie Chosen,2.6,2.6,0.1%
Joshua Palmer,2.5,2.5,25.6%
Russell Gage,2.4,2.4,0.1%
Khalil Shakir,2.3,2.3,9.3%
Diontae Johnson,2.2,2.2,80.9%
Jauan Jennings,2.2,2.2,0.7%
Kalif Raymond,2.1,2.1,1.9%
Tre'Quan Smith,1.8,1.8,0.0%
Ashton Dulin,1.8,1.8,0.0%
Treylon Burks,1.8,1.8,17.9%
Drake London,1.7,1.7,82.4%
Rashod Bateman,1.7,1.7,9.9%
DeVonta Smith,1.7,1.7,98.3%
Dee Eskridge,1.6,1.6,0.0%
Quintez Cephus,1.5,1.5,0.0%
Terry McLaurin,1.5,1.5,90.8%
Gabe Davis,1.3,1.3,81.3%
Jalen Nailor,1.3,1.3,0.0%
Brandon Powell,1.1,1.1,1.3%
Darius Slayton,1.1,1.1,2.2%
Demarcus Robinson,1.0,1.0,0.1%
Lil'Jordan Humphrey,0.9,0.9,0.0%
Equanimeous St. Brown,0.9,0.9,0.1%
Amari Cooper,0.9,0.9,92.9%
Allen Robinson II,0.7,0.7,1.1%
Julio Jones,0.7,0.7,1.5%
Rondale Moore,0.7,0.7,21.2%
Jamison Crowder,0.7,0.7,0.1%
Ray-Ray McCloud III,0.6,0.6,1.1%
Greg Dortch,0.6,0.6,7.1%
Dyami Brown,0.6,0.6,0.1%
K.J. Osborn,0.5,0.5,22.4%
Cole Beasley,0.5,0.5,0.0%
David Sills,0.5,0.5,0.0%
Mecole Hardman Jr.,0.4,0.4,1.7%
Montrell Washington,0.4,0.4,0.0%
Ihmir Smith-Marsette,0.0,0.0,0.0%
Shi Smith,0.0,0.0,0.0%
Amari Rodgers,0.0,0.0,0.0%
KaVontae Turpin,0.0,0.0,0.7%
Chase Claypool,0.0,0.0,2.4%
Tyron Billy-Johnson,0.0,0.0,0.0%
Jeff Smith,0.0,0.0,0.0%
Malik Turner,0.0,0.0,0.0%
KhaDarel Hodge,0.0,0.0,0.0%
Quez Watkins,0.0,0.0,0.3%
Gunner Olszewski,0.0,0.0,0.0%
Laviska Shenault Jr.,0.0,0.0,0.1%
Jalen Reagor,0.0,0.0,0.1%
Maurice Alexander,0.0,0.0,0.0%
Dax Milne,0.0,0.0,0.0%
Jaelon Darden,0.0,0.0,0.0%
