Player,FPTS,FPTS/G,ROST
Joey Slye,19.0,19.0,1.0%
Eddy Pineiro,16.0,16.0,5.8%
Tyler Bass,13.0,13.0,59.2%
Cameron Dicker,12.0,12.0,71.0%
Ka'imi Fairbairn,11.0,11.0,2.4%
Robbie Gould,10.0,10.0,0.1%
Tristan Vizcaino,10.0,10.0,0.3%
Jason Sanders,9.0,9.0,63.5%
Greg Joseph,9.0,9.0,5.2%
Chase McLaughlin,9.0,9.0,5.1%
Matthew Wright,8.0,8.0,0.0%
Michael Badgley,7.0,7.0,0.0%
Graham Gano,7.0,7.0,11.8%
Mason Crosby,7.0,7.0,0.1%
Jason Myers,6.0,6.0,53.9%
Cairo Santos,6.0,6.0,6.5%
Cade York,5.0,5.0,0.1%
Randy Bullock,5.0,5.0,0.1%
Riley Patterson,5.0,5.0,42.8%
Matt Gay,5.0,5.0,51.6%
Wil Lutz,5.0,5.0,15.3%
Brett Maher,4.0,4.0,2.8%
Brandon McManus,4.0,4.0,50.9%
Jake Elliott,3.0,3.0,87.2%
Younghoe Koo,3.0,3.0,52.5%
Harrison Butker,3.0,3.0,91.8%
Ryan Succop,3.0,3.0,0.0%
Daniel Carlson,2.0,2.0,37.9%
Ramiz Ahmed,0.0,0.0,0.0%
Taylor Bertolet,0.0,0.0,0.0%
,,,
,,,
