"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tony Pollard (DAL)","12","91","7.6","30","3","2","2","3","15","7.5","0","0","1","22.6","22.6","99.8%"
"2","Christian McCaffrey (SF)","17","66","3.9","30","2","0","8","10","80","10.0","1","0","1","20.6","20.6","100.0%"
"3","Josh Jacobs (LV)","26","144","5.5","20","1","1","2","2","6","3.0","0","1","1","19.0","19.0","99.6%"
"4","Cam Akers (MIN)","17","60","3.5","13","0","2","1","1","0","0.0","0","0","1","18.0","18.0","20.9%"
"5","AJ Dillon (GB)","18","93","5.2","21","1","1","3","3","26","8.7","0","0","1","17.9","17.9","71.7%"
"6","D'Andre Swift (PHI)","14","62","4.4","10","0","1","4","6","49","12.3","0","0","1","17.1","17.1","96.9%"
"7","Samaje Perine (DEN)","21","106","5.0","10","0","0","6","7","49","8.2","0","0","1","15.5","15.5","32.8%"
"8","Ezekiel Elliott (NE)","17","77","4.5","22","1","1","3","3","14","4.7","0","0","1","15.1","15.1","56.3%"
"9","Dalvin Cook (NYJ)","20","86","4.3","21","1","1","2","3","-3","-1.5","0","0","1","14.3","14.3","23.9%"
"10","Isiah Pacheco (KC)","14","66","4.7","16","0","1","2","2","16","8.0","0","0","1","14.2","14.2","96.5%"
"11","Saquon Barkley (NYG)","18","63","3.5","21","1","1","5","5","18","3.6","0","0","1","14.1","14.1","99.9%"
"12","David Montgomery (DET)","14","61","4.4","9","0","1","4","5","6","1.5","0","0","1","12.7","12.7","95.9%"
"13","Jerick McKinnon (KC)","8","51","6.4","14","0","0","2","2","9","4.5","1","0","1","12.0","12.0","23.3%"
"14","Zonovan Knight (DET)","15","90","6.0","48","3","0","5","5","28","5.6","0","0","1","11.8","11.8","0.3%"
"15","Devin Singletary (HOU)","13","51","3.9","11","0","1","0","2","0","0","0","0","1","11.1","11.1","75.5%"
"16","Brian Robinson Jr. (WAS)","21","96","4.6","16","0","0","2","2","15","7.5","0","0","1","11.1","11.1","89.3%"
"17","Rachaad White (TB)","9","28","3.1","6","0","0","6","8","41","6.8","1","1","1","10.9","10.9","95.8%"
"18","James Cook (BUF)","14","64","4.6","28","1","0","6","6","41","6.8","0","0","1","10.5","10.5","94.3%"
"19","Jonathan Taylor (IND)","21","82","3.9","19","0","0","3","4","21","7.0","0","0","1","10.3","10.3","95.7%"
"20","Miles Sanders (CAR)","10","24","2.4","5","0","1","2","2","14","7.0","0","0","1","9.8","9.8","51.0%"
"21","Jamaal Williams (NO)","11","35","3.2","12","0","1","0","0","0","0","0","0","1","9.5","9.5","17.8%"
"22","Dameon Pierce (HOU)","18","73","4.1","11","0","0","3","3","22","7.3","0","0","1","9.5","9.5","68.0%"
"23","Najee Harris (PIT)","17","86","5.1","14","0","0","1","1","6","6.0","0","0","1","9.2","9.2","93.6%"
"24","Malik Davis (DAL)","3","29","9.7","23","1","1","0","0","0","0","0","0","1","8.9","8.9","0.1%"
"25","Austin Ekeler (LAC)","10","35","3.5","8","0","0","5","6","67","13.4","0","1","1","8.2","8.2","100.0%"
"26","Leonard Fournette (BUF)","10","49","4.9","10","0","0","6","7","32","5.3","0","0","1","8.1","8.1","4.5%"
"27","Nick Chubb (CLE)","17","80","4.7","21","1","0","0","1","0","0","0","0","1","8.0","8.0","22.3%"
"28","Alexander Mattison (MIN)","3","14","4.7","14","0","1","2","2","4","2.0","0","0","1","7.8","7.8","86.3%"
"29","Rhamondre Stevenson (NE)","10","54","5.4","16","0","0","6","8","24","4.0","0","0","1","7.8","7.8","92.9%"
"30","Kareem Hunt (CLE)","9","56","6.2","15","0","0","2","3","18","9.0","0","0","1","7.4","7.4","55.5%"
"31","Kyle Juszczyk (SF)","1","0","0.0","0","0","0","3","3","12","4.0","1","0","1","7.2","7.2","0.3%"
"32","Chris Evans (CIN)","0","0","0","0","0","0","1","1","8","8.0","1","0","1","6.8","6.8","0.2%"
"33","Latavius Murray (BUF)","17","47","2.8","7","0","0","4","4","14","3.5","0","0","1","6.1","6.1","15.7%"
"34","Cordarrelle Patterson (ATL)","11","60","5.5","22","1","0","0","0","0","0","0","0","1","6.0","6.0","2.0%"
"35","Antonio Gibson (WAS)","9","39","4.3","7","0","0","2","4","20","10.0","0","0","1","5.9","5.9","50.0%"
"36","Kenneth Gainwell (PHI)","3","15","5.0","13","0","0","3","4","38","12.7","0","0","1","5.3","5.3","23.6%"
"37","Tyler Allgeier (ATL)","10","52","5.2","20","1","0","0","0","0","0","0","0","1","5.2","5.2","46.9%"
"38","Jordan Mason (SF)","8","51","6.4","19","0","0","0","0","0","0","0","0","1","5.1","5.1","0.9%"
"39","Aaron Jones (GB)","9","26","2.9","11","0","0","5","5","24","4.8","0","0","1","5.0","5.0","92.5%"
"40","Mark Ingram II (FA)","7","27","3.9","7","0","0","5","5","22","4.4","0","0","1","4.9","4.9","0.0%"
"41","Kenyan Drake (GB)","7","29","4.1","12","0","0","2","3","17","8.5","0","0","1","4.6","4.6","0.1%"
"42","Travis Etienne Jr. (JAC)","13","54","4.2","13","0","0","3","3","12","4.0","0","1","1","4.6","4.6","99.9%"
"43","Ty Johnson (BUF)","1","3","3.0","3","0","0","6","7","38","6.3","0","0","1","4.1","4.1","0.1%"
"44","Derrick Henry (TEN)","11","30","2.7","6","0","0","2","3","8","4.0","0","0","1","3.8","3.8","99.8%"
"45","DeeJay Dallas (SEA)","10","37","3.7","7","0","0","0","1","0","0","0","0","1","3.7","3.7","0.9%"
"46","Alvin Kamara (NO)","12","26","2.2","5","0","0","2","3","11","5.5","0","0","1","3.7","3.7","98.7%"
"47","Kenneth Walker III (SEA)","3","36","12.0","30","2","0","0","1","0","0","0","0","1","3.6","3.6","96.4%"
"48","Benny Snell Jr. (FA)","6","24","4.0","6","0","0","1","1","11","11.0","0","0","1","3.5","3.5","0.0%"
"49","Tony Jones Jr. (ARI)","7","14","2.0","7","0","0","2","4","18","9.0","0","0","1","3.2","3.2","0.3%"
"50","Raheem Mostert (MIA)","7","30","4.3","8","0","0","0","0","0","0","0","0","1","3.0","3.0","97.7%"
"51","Joshua Kelley (LAC)","7","30","4.3","7","0","0","0","1","0","0","0","0","1","3.0","3.0","11.4%"
"52","Mike Boone (HOU)","6","18","3.0","10","0","0","1","1","8","8.0","0","0","1","2.6","2.6","0.6%"
"53","Justin Jackson (FA)","1","4","4.0","4","0","0","3","5","19","6.3","0","0","1","2.3","2.3","0.0%"
"54","Darrynton Evans (MIA)","3","21","7.0","21","1","0","0","0","0","0","0","0","1","2.1","2.1","0.1%"
"55","Boston Scott (PHI)","6","16","2.7","5","0","0","1","1","5","5.0","0","0","1","2.1","2.1","0.2%"
"56","Dare Ogunbowale (HOU)","2","8","4.0","6","0","0","2","3","13","6.5","0","0","1","2.1","2.1","0.1%"
"57","Jaylen Warren (PIT)","1","5","5.0","5","0","0","2","2","14","7.0","0","0","1","1.9","1.9","83.5%"
"58","Zack Moss (IND)","3","18","6.0","9","0","0","0","0","0","0","0","0","1","1.8","1.8","88.5%"
"59","Nyheim Hines (BUF)","2","-3","-1.5","0","0","0","1","2","21","21.0","0","0","1","1.8","1.8","0.1%"
"60","Caleb Huntley (FA)","4","17","4.3","6","0","0","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"61","Dontrell Hilliard (FA)","1","2","2.0","2","0","0","2","2","14","7.0","0","0","1","1.6","1.6","0.0%"
"62","Alec Ingold (MIA)","0","0","0","0","0","0","3","4","15","5.0","0","0","1","1.5","1.5","0.1%"
"63","Julius Chestnut (TEN)","5","13","2.6","5","0","0","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"64","Gus Edwards (BAL)","6","12","2.0","4","0","0","0","0","0","0","0","0","1","1.2","1.2","82.0%"
"65","James Robinson (FA)","4","10","2.5","4","0","0","0","0","0","0","0","0","1","1.0","1.0","0.6%"
"66","Kyren Williams (LAR)","3","9","3.0","4","0","0","0","1","0","0","0","0","1","0.9","0.9","94.4%"
"67","Marlon Mack (ARI)","2","3","1.5","4","0","0","1","1","6","6.0","0","0","1","0.9","0.9","0.0%"
"68","Derek Watt (FA)","1","4","4.0","4","0","0","1","1","3","3.0","0","0","1","0.7","0.7","0.0%"
"69","Zamir White (LV)","2","6","3.0","3","0","0","0","0","0","0","0","0","1","0.6","0.6","1.3%"
"70","Snoop Conner (JAC)","1","6","6.0","6","0","0","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"71","Deon Jackson (NYG)","2","6","3.0","5","0","0","0","1","0","0","0","0","1","0.6","0.6","1.3%"
"72","Patrick Taylor Jr. (GB)","1","6","6.0","6","0","0","0","0","0","0","0","0","1","0.6","0.6","1.2%"
"73","Justice Hill (BAL)","1","2","2.0","2","0","0","2","2","4","2.0","0","0","1","0.6","0.6","12.4%"
"74","Ameer Abdullah (LV)","1","4","4.0","4","0","0","0","1","0","0","0","0","1","0.4","0.4","0.5%"
"75","Matt Breida (NYG)","0","0","0","0","0","0","1","1","4","4.0","0","0","1","0.4","0.4","2.6%"
"76","Trayveon Williams (CIN)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.7%"
"77","Jerome Ford (CLE)","3","3","1.0","4","0","0","0","0","0","0","0","0","1","0.3","0.3","86.9%"
"78","Jeff Wilson Jr. (MIA)","1","3","3.0","3","0","0","0","2","0","0","0","0","1","0.3","0.3","15.8%"
"79","Adam Prentice (NO)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"80","Jonathan Williams (WAS)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","0.0%"
"81","Demetric Felton Jr. (CIN)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"82","Chris Myarick (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"83","Troy Hairston II (HOU)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"84","Trestan Ebner (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"85","Bryant Koback (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"86","Avery Williams (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"87","Gary Brightwell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
